iteration,backup,model,layer,depth,velocity,printed_change,applied_change,change_type,change_semantics,applied
2,0,1,1,-5.0,4.5,0.0,0.0,iteration,applied_iteration_adjustment,True
2,0,1,2,2.12,4.718,0.148,0.148,iteration,applied_iteration_adjustment,True
2,0,1,3,4.2,4.888,0.128,0.128,iteration,applied_iteration_adjustment,True
2,0,1,4,5.44,6.031,-0.069,-0.069,iteration,applied_iteration_adjustment,True
2,0,1,5,10.08,6.366,0.146,0.146,iteration,applied_iteration_adjustment,True
2,0,1,6,19.46,6.68,0.0,0.0,iteration,applied_iteration_adjustment,True
2,0,1,7,23.19,6.94,0.0,0.0,iteration,applied_iteration_adjustment,True
2,0,1,8,26.48,7.04,0.0,0.0,iteration,applied_iteration_adjustment,True
2,0,1,9,45.0,8.1,0.0,0.0,iteration,applied_iteration_adjustment,True
4,0,1,1,-5.0,4.5,-0.0,-0.0,iteration,applied_iteration_adjustment,True
4,0,1,2,2.12,4.783,0.065,0.065,iteration,applied_iteration_adjustment,True
4,0,1,3,4.2,4.995,0.107,0.107,iteration,applied_iteration_adjustment,True
4,0,1,4,5.44,6.016,-0.015,-0.015,iteration,applied_iteration_adjustment,True
4,0,1,5,10.08,6.359,-0.007,-0.007,iteration,applied_iteration_adjustment,True
4,0,1,6,19.46,6.68,0.0,0.0,iteration,applied_iteration_adjustment,True
4,0,1,7,23.19,6.94,0.0,0.0,iteration,applied_iteration_adjustment,True
4,0,1,8,26.48,7.04,0.0,0.0,iteration,applied_iteration_adjustment,True
4,0,1,9,45.0,8.1,0.0,0.0,iteration,applied_iteration_adjustment,True
6,0,1,1,-5.0,4.5,-0.0,-0.0,iteration,applied_iteration_adjustment,True
6,0,1,2,2.12,4.8,0.017,0.017,iteration,applied_iteration_adjustment,True
6,0,1,3,4.2,5.136,0.141,0.141,iteration,applied_iteration_adjustment,True
6,0,1,4,5.44,5.997,-0.018,-0.018,iteration,applied_iteration_adjustment,True
6,0,1,5,10.08,6.342,-0.017,-0.017,iteration,applied_iteration_adjustment,True
6,0,1,6,19.46,6.68,0.0,0.0,iteration,applied_iteration_adjustment,True
6,0,1,7,23.19,6.94,0.0,0.0,iteration,applied_iteration_adjustment,True
6,0,1,8,26.48,7.04,0.0,0.0,iteration,applied_iteration_adjustment,True
6,0,1,9,45.0,8.1,0.0,0.0,iteration,applied_iteration_adjustment,True
8,0,1,1,-5.0,4.5,-0.0,-0.0,iteration,applied_iteration_adjustment,True
8,0,1,2,2.12,4.765,-0.035,-0.035,iteration,applied_iteration_adjustment,True
8,0,1,3,4.2,5.324,0.188,0.188,iteration,applied_iteration_adjustment,True
8,0,1,4,5.44,5.976,-0.021,-0.021,iteration,applied_iteration_adjustment,True
8,0,1,5,10.08,6.318,-0.024,-0.024,iteration,applied_iteration_adjustment,True
8,0,1,6,19.46,6.68,0.0,0.0,iteration,applied_iteration_adjustment,True
8,0,1,7,23.19,6.94,0.0,0.0,iteration,applied_iteration_adjustment,True
8,0,1,8,26.48,7.04,0.0,0.0,iteration,applied_iteration_adjustment,True
8,0,1,9,45.0,8.1,0.0,0.0,iteration,applied_iteration_adjustment,True
