iteration,backup,model,layer,depth,velocity,printed_change,applied_change,change_type,change_semantics,applied
2,0,1,1,-5.0,4.5,-0.0,-0.0,iteration,applied_iteration_adjustment,True
2,0,1,2,1.73,4.501,0.0,0.0,iteration,applied_iteration_adjustment,True
2,0,1,3,4.63,4.777,-0.083,-0.083,iteration,applied_iteration_adjustment,True
2,0,1,4,5.47,5.619,0.139,0.139,iteration,applied_iteration_adjustment,True
2,0,1,5,10.44,5.904,0.084,0.084,iteration,applied_iteration_adjustment,True
2,0,1,6,13.84,6.118,0.128,0.128,iteration,applied_iteration_adjustment,True
2,0,1,7,19.66,6.42,0.0,0.0,iteration,applied_iteration_adjustment,True
2,0,1,8,22.17,6.69,0.0,0.0,iteration,applied_iteration_adjustment,True
2,0,1,9,27.41,7.15,0.0,0.0,iteration,applied_iteration_adjustment,True
2,0,1,10,45.0,8.1,0.0,0.0,iteration,applied_iteration_adjustment,True
4,0,1,1,-5.0,4.5,-0.0,-0.0,iteration,applied_iteration_adjustment,True
4,0,1,2,1.73,4.501,0.0,0.0,iteration,applied_iteration_adjustment,True
4,0,1,3,4.63,4.718,-0.059,-0.059,iteration,applied_iteration_adjustment,True
4,0,1,4,5.47,5.702,0.083,0.083,iteration,applied_iteration_adjustment,True
4,0,1,5,10.44,5.967,0.063,0.063,iteration,applied_iteration_adjustment,True
4,0,1,6,13.84,6.171,0.052,0.052,iteration,applied_iteration_adjustment,True
4,0,1,7,19.66,6.42,0.0,0.0,iteration,applied_iteration_adjustment,True
4,0,1,8,22.17,6.69,0.0,0.0,iteration,applied_iteration_adjustment,True
4,0,1,9,27.41,7.15,0.0,0.0,iteration,applied_iteration_adjustment,True
4,0,1,10,45.0,8.1,0.0,0.0,iteration,applied_iteration_adjustment,True
6,0,1,1,-5.0,4.5,-0.0,-0.0,iteration,applied_iteration_adjustment,True
6,0,1,2,1.73,4.501,0.0,0.0,iteration,applied_iteration_adjustment,True
6,0,1,3,4.63,4.666,-0.052,-0.052,iteration,applied_iteration_adjustment,True
6,0,1,4,5.47,5.77,0.068,0.068,iteration,applied_iteration_adjustment,True
6,0,1,5,10.44,6.012,0.045,0.045,iteration,applied_iteration_adjustment,True
6,0,1,6,13.84,6.217,0.047,0.047,iteration,applied_iteration_adjustment,True
6,0,1,7,19.66,6.42,0.0,0.0,iteration,applied_iteration_adjustment,True
6,0,1,8,22.17,6.69,0.0,0.0,iteration,applied_iteration_adjustment,True
6,0,1,9,27.41,7.15,0.0,0.0,iteration,applied_iteration_adjustment,True
6,0,1,10,45.0,8.1,0.0,0.0,iteration,applied_iteration_adjustment,True
8,0,1,1,-5.0,4.5,-0.0,-0.0,iteration,applied_iteration_adjustment,True
8,0,1,2,1.73,4.501,0.0,0.0,iteration,applied_iteration_adjustment,True
8,0,1,3,4.63,4.617,-0.049,-0.049,iteration,applied_iteration_adjustment,True
8,0,1,4,5.47,5.829,0.059,0.059,iteration,applied_iteration_adjustment,True
8,0,1,5,10.44,6.072,0.06,0.06,iteration,applied_iteration_adjustment,True
8,0,1,6,13.84,6.301,0.084,0.084,iteration,applied_iteration_adjustment,True
8,0,1,7,19.66,6.42,0.0,0.0,iteration,applied_iteration_adjustment,True
8,0,1,8,22.17,6.69,0.0,0.0,iteration,applied_iteration_adjustment,True
8,0,1,9,27.41,7.15,0.0,0.0,iteration,applied_iteration_adjustment,True
8,0,1,10,45.0,8.1,0.0,0.0,iteration,applied_iteration_adjustment,True
