iteration,backup,model,layer,depth,velocity,printed_change,applied_change,change_type,change_semantics,applied
2,0,1,1,-5.0,4.5,0.0,0.0,iteration,applied_iteration_adjustment,True
2,0,1,2,2.33,4.722,-0.008,-0.008,iteration,applied_iteration_adjustment,True
2,0,1,3,3.89,5.839,0.159,0.159,iteration,applied_iteration_adjustment,True
2,0,1,4,5.22,6.13,0.2,0.2,iteration,applied_iteration_adjustment,True
2,0,1,5,19.41,6.208,-0.042,-0.042,iteration,applied_iteration_adjustment,True
2,0,1,6,22.27,6.578,-0.042,-0.042,iteration,applied_iteration_adjustment,True
2,0,1,7,26.84,6.792,-0.018,-0.018,iteration,applied_iteration_adjustment,True
2,0,1,8,45.0,8.1,0.0,0.0,iteration,applied_iteration_adjustment,True
4,0,1,1,-5.0,4.5,-0.0,-0.0,iteration,applied_iteration_adjustment,True
4,0,1,2,2.33,4.688,-0.034,-0.034,iteration,applied_iteration_adjustment,True
4,0,1,3,3.89,5.964,0.125,0.125,iteration,applied_iteration_adjustment,True
4,0,1,4,5.22,6.33,0.2,0.2,iteration,applied_iteration_adjustment,True
4,0,1,5,19.41,6.331,0.0,0.0,iteration,applied_iteration_adjustment,True
4,0,1,6,22.27,6.532,-0.046,-0.046,iteration,applied_iteration_adjustment,True
4,0,1,7,26.84,6.778,-0.014,-0.014,iteration,applied_iteration_adjustment,True
4,0,1,8,45.0,8.1,0.0,0.0,iteration,applied_iteration_adjustment,True
6,0,1,1,-5.0,4.5,-0.0,-0.0,iteration,applied_iteration_adjustment,True
6,0,1,2,2.33,4.669,-0.018,-0.018,iteration,applied_iteration_adjustment,True
6,0,1,3,3.89,5.986,0.021,0.021,iteration,applied_iteration_adjustment,True
6,0,1,4,5.22,6.442,0.112,0.112,iteration,applied_iteration_adjustment,True
6,0,1,5,19.41,6.443,0.0,0.0,iteration,applied_iteration_adjustment,True
6,0,1,6,22.27,6.509,-0.023,-0.023,iteration,applied_iteration_adjustment,True
6,0,1,7,26.84,6.778,0.0,0.0,iteration,applied_iteration_adjustment,True
6,0,1,8,45.0,8.1,0.0,0.0,iteration,applied_iteration_adjustment,True
8,0,1,1,-5.0,4.5,-0.0,-0.0,iteration,applied_iteration_adjustment,True
8,0,1,2,2.33,4.653,-0.016,-0.016,iteration,applied_iteration_adjustment,True
8,0,1,3,3.89,5.974,-0.012,-0.012,iteration,applied_iteration_adjustment,True
8,0,1,4,5.22,6.488,0.047,0.047,iteration,applied_iteration_adjustment,True
8,0,1,5,19.41,6.489,0.0,0.0,iteration,applied_iteration_adjustment,True
8,0,1,6,22.27,6.509,0.0,0.0,iteration,applied_iteration_adjustment,True
8,0,1,7,26.84,6.778,0.0,0.0,iteration,applied_iteration_adjustment,True
8,0,1,8,45.0,8.1,0.0,0.0,iteration,applied_iteration_adjustment,True
