iteration,backup,model,layer,depth,velocity,printed_change,applied_change,change_type,change_semantics,applied
2,0,1,1,-5.0,4.5,-0.0,-0.0,iteration,applied_iteration_adjustment,True
2,0,1,2,0.82,4.65,-0.2,-0.2,iteration,applied_iteration_adjustment,True
2,0,1,3,3.35,5.748,0.058,0.058,iteration,applied_iteration_adjustment,True
2,0,1,4,6.14,6.156,0.046,0.046,iteration,applied_iteration_adjustment,True
2,0,1,5,9.71,6.393,0.023,0.023,iteration,applied_iteration_adjustment,True
2,0,1,6,19.17,6.66,0.0,0.0,iteration,applied_iteration_adjustment,True
2,0,1,7,22.26,6.9,0.0,0.0,iteration,applied_iteration_adjustment,True
2,0,1,8,27.12,7.13,0.0,0.0,iteration,applied_iteration_adjustment,True
2,0,1,9,45.0,8.1,0.0,0.0,iteration,applied_iteration_adjustment,True
4,0,1,1,-5.0,4.5,-0.0,-0.0,iteration,applied_iteration_adjustment,True
4,0,1,2,0.82,4.534,-0.116,-0.116,iteration,applied_iteration_adjustment,True
4,0,1,3,3.35,5.775,0.027,0.027,iteration,applied_iteration_adjustment,True
4,0,1,4,6.14,6.174,0.018,0.018,iteration,applied_iteration_adjustment,True
4,0,1,5,9.71,6.418,0.025,0.025,iteration,applied_iteration_adjustment,True
4,0,1,6,19.17,6.66,0.0,0.0,iteration,applied_iteration_adjustment,True
4,0,1,7,22.26,6.9,0.0,0.0,iteration,applied_iteration_adjustment,True
4,0,1,8,27.12,7.13,0.0,0.0,iteration,applied_iteration_adjustment,True
4,0,1,9,45.0,8.1,0.0,0.0,iteration,applied_iteration_adjustment,True
6,0,1,1,-5.0,4.5,-0.0,-0.0,iteration,applied_iteration_adjustment,True
6,0,1,2,0.82,4.501,0.0,0.0,iteration,applied_iteration_adjustment,True
6,0,1,3,3.35,5.779,0.004,0.004,iteration,applied_iteration_adjustment,True
6,0,1,4,6.14,6.173,-0.001,-0.001,iteration,applied_iteration_adjustment,True
6,0,1,5,9.71,6.418,0.0,0.0,iteration,applied_iteration_adjustment,True
6,0,1,6,19.17,6.66,0.0,0.0,iteration,applied_iteration_adjustment,True
6,0,1,7,22.26,6.9,0.0,0.0,iteration,applied_iteration_adjustment,True
6,0,1,8,27.12,7.13,0.0,0.0,iteration,applied_iteration_adjustment,True
6,0,1,9,45.0,8.1,0.0,0.0,iteration,applied_iteration_adjustment,True
8,0,1,1,-5.0,4.5,0.0,0.0,iteration,applied_iteration_adjustment,True
8,0,1,2,0.82,4.501,0.0,0.0,iteration,applied_iteration_adjustment,True
8,0,1,3,3.35,5.772,-0.006,-0.006,iteration,applied_iteration_adjustment,True
8,0,1,4,6.14,6.163,-0.01,-0.01,iteration,applied_iteration_adjustment,True
8,0,1,5,9.71,6.398,-0.02,-0.02,iteration,applied_iteration_adjustment,True
8,0,1,6,19.17,6.66,0.0,0.0,iteration,applied_iteration_adjustment,True
8,0,1,7,22.26,6.9,0.0,0.0,iteration,applied_iteration_adjustment,True
8,0,1,8,27.12,7.13,0.0,0.0,iteration,applied_iteration_adjustment,True
8,0,1,9,45.0,8.1,0.0,0.0,iteration,applied_iteration_adjustment,True
