iteration,backup,model,layer,depth,velocity,printed_change,applied_change,change_type,change_semantics,applied
2,0,1,1,-5.0,4.5,-0.0,-0.0,iteration,applied_iteration_adjustment,True
2,0,1,2,1.87,4.645,-0.005,-0.005,iteration,applied_iteration_adjustment,True
2,0,1,3,4.46,5.22,0.2,0.2,iteration,applied_iteration_adjustment,True
2,0,1,4,6.05,6.08,-0.04,-0.04,iteration,applied_iteration_adjustment,True
2,0,1,5,10.04,6.33,0.09,0.09,iteration,applied_iteration_adjustment,True
2,0,1,6,18.67,6.5,0.0,0.0,iteration,applied_iteration_adjustment,True
2,0,1,7,23.75,6.77,0.0,0.0,iteration,applied_iteration_adjustment,True
2,0,1,8,26.9,7.01,0.0,0.0,iteration,applied_iteration_adjustment,True
2,0,1,9,45.0,8.1,0.0,0.0,iteration,applied_iteration_adjustment,True
4,0,1,1,-5.0,4.5,-0.0,-0.0,iteration,applied_iteration_adjustment,True
4,0,1,2,1.87,4.546,-0.098,-0.098,iteration,applied_iteration_adjustment,True
4,0,1,3,4.46,5.42,0.2,0.2,iteration,applied_iteration_adjustment,True
4,0,1,4,6.05,6.07,-0.01,-0.01,iteration,applied_iteration_adjustment,True
4,0,1,5,10.04,6.364,0.034,0.034,iteration,applied_iteration_adjustment,True
4,0,1,6,18.67,6.5,0.0,0.0,iteration,applied_iteration_adjustment,True
4,0,1,7,23.75,6.77,0.0,0.0,iteration,applied_iteration_adjustment,True
4,0,1,8,26.9,7.01,0.0,0.0,iteration,applied_iteration_adjustment,True
4,0,1,9,45.0,8.1,0.0,0.0,iteration,applied_iteration_adjustment,True
6,0,1,1,-5.0,4.5,-0.0,-0.0,iteration,applied_iteration_adjustment,True
6,0,1,2,1.87,4.501,0.0,0.0,iteration,applied_iteration_adjustment,True
6,0,1,3,4.46,5.561,0.141,0.141,iteration,applied_iteration_adjustment,True
6,0,1,4,6.05,6.076,0.006,0.006,iteration,applied_iteration_adjustment,True
6,0,1,5,10.04,6.388,0.023,0.023,iteration,applied_iteration_adjustment,True
6,0,1,6,18.67,6.5,0.0,0.0,iteration,applied_iteration_adjustment,True
6,0,1,7,23.75,6.77,0.0,0.0,iteration,applied_iteration_adjustment,True
6,0,1,8,26.9,7.01,0.0,0.0,iteration,applied_iteration_adjustment,True
6,0,1,9,45.0,8.1,0.0,0.0,iteration,applied_iteration_adjustment,True
8,0,1,1,-5.0,4.5,-0.0,-0.0,iteration,applied_iteration_adjustment,True
8,0,1,2,1.87,4.501,0.0,0.0,iteration,applied_iteration_adjustment,True
8,0,1,3,4.46,5.678,0.118,0.118,iteration,applied_iteration_adjustment,True
8,0,1,4,6.05,6.065,-0.011,-0.011,iteration,applied_iteration_adjustment,True
8,0,1,5,10.04,6.372,-0.016,-0.016,iteration,applied_iteration_adjustment,True
8,0,1,6,18.67,6.5,0.0,0.0,iteration,applied_iteration_adjustment,True
8,0,1,7,23.75,6.77,0.0,0.0,iteration,applied_iteration_adjustment,True
8,0,1,8,26.9,7.01,0.0,0.0,iteration,applied_iteration_adjustment,True
8,0,1,9,45.0,8.1,0.0,0.0,iteration,applied_iteration_adjustment,True
