iteration,backup,model,layer,depth,velocity,printed_change,applied_change,change_type,change_semantics,applied
2,0,1,1,-5.0,4.501,0.001,0.001,iteration,applied_iteration_adjustment,True
2,0,1,2,2.33,4.669,-0.061,-0.061,iteration,applied_iteration_adjustment,True
2,0,1,3,3.89,5.83,0.15,0.15,iteration,applied_iteration_adjustment,True
2,0,1,4,5.22,6.13,0.2,0.2,iteration,applied_iteration_adjustment,True
2,0,1,5,19.41,6.233,-0.017,-0.017,iteration,applied_iteration_adjustment,True
2,0,1,6,22.27,6.615,-0.005,-0.005,iteration,applied_iteration_adjustment,True
2,0,1,7,26.84,6.81,0.0,0.0,iteration,applied_iteration_adjustment,True
2,0,1,8,45.0,8.1,0.0,0.0,iteration,applied_iteration_adjustment,True
4,0,1,1,-5.0,4.501,-0.0,-0.0,iteration,applied_iteration_adjustment,True
4,0,1,2,2.33,4.608,-0.06,-0.06,iteration,applied_iteration_adjustment,True
4,0,1,3,3.89,5.92,0.089,0.089,iteration,applied_iteration_adjustment,True
4,0,1,4,5.22,6.33,0.2,0.2,iteration,applied_iteration_adjustment,True
4,0,1,5,19.41,6.331,0.0,0.0,iteration,applied_iteration_adjustment,True
4,0,1,6,22.27,6.615,0.0,0.0,iteration,applied_iteration_adjustment,True
4,0,1,7,26.84,6.81,0.0,0.0,iteration,applied_iteration_adjustment,True
4,0,1,8,45.0,8.1,0.0,0.0,iteration,applied_iteration_adjustment,True
6,0,1,1,-5.0,4.501,-0.0,-0.0,iteration,applied_iteration_adjustment,True
6,0,1,2,2.33,4.582,-0.026,-0.026,iteration,applied_iteration_adjustment,True
6,0,1,3,3.89,5.897,-0.022,-0.022,iteration,applied_iteration_adjustment,True
6,0,1,4,5.22,6.362,0.032,0.032,iteration,applied_iteration_adjustment,True
6,0,1,5,19.41,6.363,0.0,0.0,iteration,applied_iteration_adjustment,True
6,0,1,6,22.27,6.615,0.0,0.0,iteration,applied_iteration_adjustment,True
6,0,1,7,26.84,6.81,0.0,0.0,iteration,applied_iteration_adjustment,True
6,0,1,8,45.0,8.1,0.0,0.0,iteration,applied_iteration_adjustment,True
8,0,1,1,-5.0,4.501,-0.0,-0.0,iteration,applied_iteration_adjustment,True
8,0,1,2,2.33,4.569,-0.013,-0.013,iteration,applied_iteration_adjustment,True
8,0,1,3,3.89,5.879,-0.018,-0.018,iteration,applied_iteration_adjustment,True
8,0,1,4,5.22,6.371,0.009,0.009,iteration,applied_iteration_adjustment,True
8,0,1,5,19.41,6.372,0.0,0.0,iteration,applied_iteration_adjustment,True
8,0,1,6,22.27,6.615,0.0,0.0,iteration,applied_iteration_adjustment,True
8,0,1,7,26.84,6.81,0.0,0.0,iteration,applied_iteration_adjustment,True
8,0,1,8,45.0,8.1,0.0,0.0,iteration,applied_iteration_adjustment,True
